Date,Pump_price,Fed_car_tax,GST_HST,Ret_sales,GDP,LFP,Car_Sales,Wages
1/1/2017,111.5,0,12.8,8071889,1964009,2470188,46261,6256584
2/1/2017,107.6,0,12.4,8151735,1970851,2474779,52347,6284840
3/1/2017,106.9,0,12.3,8251571,1979281,2479370,77551,6295532
4/1/2017,115.3,0,13.3,8430747,1988478,2483961,82527,6297280
5/1/2017,112.4,0,12.9,8374712,1992334,2488553,93022,6308896
6/1/2017,107.4,0,12.4,8223990,1996718,2493144,86238,6352201
7/1/2017,109.9,0,12.6,8272201,1995462,2497735,75235,6343680
8/1/2017,112.3,0,12.9,8529984,1993294,2503335,74726,6358178
9/1/2017,118.8,0,13.7,8367993,1998202,2508935,78676,6387118
10/1/2017,115.1,0,13.2,8536718,1998437,2514535,68064,6365715
11/1/2017,122.3,0,14.1,8554292,2007905,2520134,68232,6377551
12/1/2017,120.9,0,13.9,8513456,2013398,2525734,54276,6400597
1/1/2018,124,0,14.3,8560481,2019953,2531334,48501,6401434
2/1/2018,123.4,0,14.2,8552028,2028077,2536934,55744,6415718
3/1/2018,125.6,0,14.4,8609939,2033962,2542534,81571,6432205
4/1/2018,133.5,0,15.4,8352764,2035739,2548133,80983,6430388
5/1/2018,137.1,0,15.8,8551087,2045730,2553733,92629,6468004
6/1/2018,134.4,0,15.5,8875467,2049895,2559333,90647,6480683
7/1/2018,135.8,0,15.6,8738058,2054928,2564933,77108,6482267
8/1/2018,133.3,0,15.3,8889234,2058341,2569313,78170,6508873
9/1/2018,130.1,0,15,8860099,2061405,2573692,76176,6525145
10/1/2018,124,0,14.3,9107057,2066429,2578072,68869,6548643
11/1/2018,111.5,0,12.8,8870124,2062372,2582452,64106,6552230
12/1/2018,104.9,0,12.1,8856185,2061233,2586832,52344,6545452
1/1/2019,102.7,0,11.8,8816847,2066857,2591212,45870,6569727
2/1/2019,103.1,0,11.9,8828820,2061643,2595592,52995,6584697
3/1/2019,114.9,0,13.2,8853920,2073524,2599972,81601,6586527
4/1/2019,127,4.4,14.6,8970817,2082057,2604352,79260,6587346
5/1/2019,127.8,4.4,14.7,9184031,2090257,2608732,85911,6607578
6/1/2019,118.9,4.4,13.7,9178795,2097348,2613112,84638,6594829
7/1/2019,125.5,4.4,14.4,9284227,2097348,2617492,75508,6624593
8/1/2019,118.5,4.4,13.6,9185404,2096045,2621363,81521,6643585
9/1/2019,116.3,4.4,13.4,9297821,2099629,2625234,74369,6630487
10/1/2019,116.9,4.4,13.4,9098712,2102201,2629105,69853,6631926
11/1/2019,116.3,4.4,13.4,9338893,2103255,2632976,65439,6651047
12/1/2019,116.6,4.4,13.4,9725583,2104915,2636847,51741,6645242
1/1/2020,114.5,4.4,13.2,9609562,2110057,2640718,47763,6666088
2/1/2020,111.2,4.4,12.8,9791269,2114454,2644589,55616,6663032
